,codmpio,ano,H_coca,coca,year,pct.chg
1,5001,1993,0,0,1993,0
2,5002,1993,0,0,1993,0
3,5004,1993,0,0,1993,0
4,5021,1993,0,0,1993,0
5,5030,1993,0,0,1993,0
6,5031,1993,0,0,1993,0
7,5034,1993,0,0,1993,0
8,5036,1993,0,0,1993,0
9,5038,1993,0,0,1993,0
10,5040,1993,0,0,1993,0
11,5042,1993,0,0,1993,0
12,5044,1993,0,0,1993,0
13,5045,1993,0,0,1993,0
14,5051,1993,0,0,1993,0
15,5055,1993,0,0,1993,0
16,5059,1993,0,0,1993,0
17,5079,1993,0,0,1993,0
18,5086,1993,0,0,1993,0
19,5088,1993,0,0,1993,0
20,5091,1993,0,0,1993,0
21,5093,1993,0,0,1993,0
22,5101,1993,0,0,1993,0
23,5107,1993,0,0,1993,0
24,5113,1993,0,0,1993,0
25,5120,1993,0,0,1993,0
26,5125,1993,0,0,1993,0
27,5129,1993,0,0,1993,0
28,5134,1993,0,0,1993,0
29,5138,1993,0,0,1993,0
30,5142,1993,0,0,1993,0
31,5145,1993,0,0,1993,0
32,5147,1993,0,0,1993,0
33,5148,1993,0,0,1993,0
34,5150,1993,0,0,1993,0
35,5154,1993,0,0,1993,0
36,5172,1993,0,0,1993,0
37,5190,1993,0,0,1993,0
38,5197,1993,0,0,1993,0
39,5206,1993,0,0,1993,0
40,5209,1993,0,0,1993,0
41,5212,1993,0,0,1993,0
42,5234,1993,0,0,1993,0
43,5237,1993,0,0,1993,0
44,5240,1993,0,0,1993,0
45,5250,1993,0,0,1993,0
46,5264,1993,0,0,1993,0
47,5266,1993,0,0,1993,0
48,5282,1993,0,0,1993,0
49,5284,1993,0,0,1993,0
50,5306,1993,0,0,1993,0
51,5308,1993,0,0,1993,0
52,5310,1993,0,0,1993,0
53,5313,1993,0,0,1993,0
54,5315,1993,0,0,1993,0
55,5318,1993,0,0,1993,0
56,5321,1993,0,0,1993,0
57,5347,1993,0,0,1993,0
58,5353,1993,0,0,1993,0
59,5360,1993,0,0,1993,0
60,5361,1993,0,0,1993,0
61,5364,1993,0,0,1993,0
62,5368,1993,0,0,1993,0
63,5376,1993,0,0,1993,0
64,5380,1993,0,0,1993,0
65,5390,1993,0,0,1993,0
66,5400,1993,0,0,1993,0
67,5411,1993,0,0,1993,0
68,5425,1993,0,0,1993,0
69,5440,1993,0,0,1993,0
70,5467,1993,0,0,1993,0
71,5475,1993,0,0,1993,0
72,5480,1993,0,0,1993,0
73,5483,1993,0,0,1993,0
74,5490,1993,0,0,1993,0
75,5495,1993,0,0,1993,0
76,5501,1993,0,0,1993,0
77,5541,1993,0,0,1993,0
78,5543,1993,0,0,1993,0
79,5576,1993,0,0,1993,0
80,5579,1993,0,0,1993,0
81,5585,1993,0,0,1993,0
82,5591,1993,0,0,1993,0
83,5604,1993,0,0,1993,0
84,5607,1993,0,0,1993,0
85,5615,1993,0,0,1993,0
86,5628,1993,0,0,1993,0
87,5631,1993,0,0,1993,0
88,5642,1993,0,0,1993,0
89,5647,1993,0,0,1993,0
90,5649,1993,0,0,1993,0
91,5652,1993,0,0,1993,0
92,5656,1993,0,0,1993,0
93,5658,1993,0,0,1993,0
94,5659,1993,0,0,1993,0
95,5660,1993,0,0,1993,0
96,5664,1993,0,0,1993,0
97,5665,1993,0,0,1993,0
98,5667,1993,0,0,1993,0
99,5670,1993,0,0,1993,0
100,5674,1993,0,0,1993,0
101,5679,1993,0,0,1993,0
102,5686,1993,0,0,1993,0
103,5690,1993,0,0,1993,0
104,5697,1993,0,0,1993,0
105,5736,1993,0,0,1993,0
106,5756,1993,0,0,1993,0
107,5761,1993,0,0,1993,0
108,5789,1993,0,0,1993,0
109,5790,1993,0,0,1993,0
110,5792,1993,0,0,1993,0
111,5809,1993,0,0,1993,0
112,5819,1993,0,0,1993,0
113,5837,1993,0,0,1993,0
114,5842,1993,0,0,1993,0
115,5847,1993,0,0,1993,0
116,5854,1993,0,0,1993,0
117,5856,1993,0,0,1993,0
118,5858,1993,0,0,1993,0
119,5861,1993,0,0,1993,0
120,5873,1993,0,0,1993,0
121,5885,1993,0,0,1993,0
122,5887,1993,0,0,1993,0
123,5890,1993,0,0,1993,0
124,5893,1993,0,0,1993,0
125,5895,1993,0,0,1993,0
126,8001,1993,0,0,1993,0
127,8078,1993,0,0,1993,0
128,8137,1993,0,0,1993,0
129,8141,1993,0,0,1993,0
130,8296,1993,0,0,1993,0
131,8372,1993,0,0,1993,0
132,8421,1993,0,0,1993,0
133,8433,1993,0,0,1993,0
134,8436,1993,0,0,1993,0
135,8520,1993,0,0,1993,0
136,8549,1993,0,0,1993,0
137,8558,1993,0,0,1993,0
138,8560,1993,0,0,1993,0
139,8573,1993,0,0,1993,0
140,8606,1993,0,0,1993,0
141,8634,1993,0,0,1993,0
142,8638,1993,0,0,1993,0
143,8675,1993,0,0,1993,0
144,8685,1993,0,0,1993,0
145,8758,1993,0,0,1993,0
146,8770,1993,0,0,1993,0
147,8832,1993,0,0,1993,0
148,8849,1993,0,0,1993,0
149,11001,1993,0,0,1993,0
150,13001,1993,0,0,1993,0
151,13006,1993,0,0,1993,0
152,13030,1993,0,0,1993,0
153,13042,1993,0,0,1993,0
154,13052,1993,0,0,1993,0
155,13062,1993,0,0,1993,0
156,13074,1993,0,0,1993,0
157,13140,1993,0,0,1993,0
158,13160,1993,0,0,1993,0
159,13188,1993,0,0,1993,0
160,13212,1993,0,0,1993,0
161,13222,1993,0,0,1993,0
162,13244,1993,0,0,1993,0
163,13248,1993,0,0,1993,0
164,13268,1993,0,0,1993,0
165,13300,1993,0,0,1993,0
166,13430,1993,0,0,1993,0
167,13433,1993,0,0,1993,0
168,13440,1993,0,0,1993,0
169,13442,1993,0,0,1993,0
170,13458,1993,0,0,1993,0
171,13468,1993,0,0,1993,0
172,13473,1993,0,0,1993,0
173,13490,1993,0,0,1993,0
174,13549,1993,0,0,1993,0
175,13580,1993,0,0,1993,0
176,13600,1993,0,0,1993,0
177,13620,1993,0,0,1993,0
178,13647,1993,0,0,1993,0
179,13650,1993,0,0,1993,0
180,13654,1993,0,0,1993,0
181,13655,1993,0,0,1993,0
182,13657,1993,0,0,1993,0
183,13667,1993,0,0,1993,0
184,13670,1993,0,0,1993,0
185,13673,1993,0,0,1993,0
186,13683,1993,0,0,1993,0
187,13688,1993,0,0,1993,0
188,13744,1993,0,0,1993,0
189,13760,1993,0,0,1993,0
190,13780,1993,0,0,1993,0
191,13810,1993,0,0,1993,0
192,13836,1993,0,0,1993,0
193,13838,1993,0,0,1993,0
194,13873,1993,0,0,1993,0
195,13894,1993,0,0,1993,0
196,15001,1993,0,0,1993,0
197,15022,1993,0,0,1993,0
198,15047,1993,0,0,1993,0
199,15051,1993,0,0,1993,0
200,15087,1993,0,0,1993,0
201,15090,1993,0,0,1993,0
202,15092,1993,0,0,1993,0
203,15097,1993,0,0,1993,0
204,15104,1993,0,0,1993,0
205,15106,1993,0,0,1993,0
206,15109,1993,0,0,1993,0
207,15114,1993,0,0,1993,0
208,15131,1993,0,0,1993,0
209,15135,1993,0,0,1993,0
210,15162,1993,0,0,1993,0
211,15172,1993,0,0,1993,0
212,15176,1993,0,0,1993,0
213,15180,1993,0,0,1993,0
214,15183,1993,0,0,1993,0
215,15185,1993,0,0,1993,0
216,15187,1993,0,0,1993,0
217,15189,1993,0,0,1993,0
218,15204,1993,0,0,1993,0
219,15212,1993,0,0,1993,0
220,15215,1993,0,0,1993,0
221,15218,1993,0,0,1993,0
222,15223,1993,0,0,1993,0
223,15224,1993,0,0,1993,0
224,15226,1993,0,0,1993,0
225,15232,1993,0,0,1993,0
226,15236,1993,0,0,1993,0
227,15238,1993,0,0,1993,0
228,15244,1993,0,0,1993,0
229,15248,1993,0,0,1993,0
230,15272,1993,0,0,1993,0
231,15276,1993,0,0,1993,0
232,15293,1993,0,0,1993,0
233,15296,1993,0,0,1993,0
234,15299,1993,0,0,1993,0
235,15317,1993,0,0,1993,0
236,15322,1993,0,0,1993,0
237,15325,1993,0,0,1993,0
238,15332,1993,0,0,1993,0
239,15362,1993,0,0,1993,0
240,15367,1993,0,0,1993,0
241,15368,1993,0,0,1993,0
242,15377,1993,0,0,1993,0
243,15380,1993,0,0,1993,0
244,15401,1993,0,0,1993,0
245,15403,1993,0,0,1993,0
246,15407,1993,0,0,1993,0
247,15425,1993,0,0,1993,0
248,15442,1993,0,0,1993,0
249,15455,1993,0,0,1993,0
250,15464,1993,0,0,1993,0
251,15466,1993,0,0,1993,0
252,15469,1993,0,0,1993,0
253,15476,1993,0,0,1993,0
254,15480,1993,0,0,1993,0
255,15491,1993,0,0,1993,0
256,15494,1993,0,0,1993,0
257,15500,1993,0,0,1993,0
258,15507,1993,0,0,1993,0
259,15511,1993,0,0,1993,0
260,15514,1993,0,0,1993,0
261,15516,1993,0,0,1993,0
262,15518,1993,0,0,1993,0
263,15522,1993,0,0,1993,0
264,15531,1993,0,0,1993,0
265,15533,1993,0,0,1993,0
266,15537,1993,0,0,1993,0
267,15542,1993,0,0,1993,0
268,15550,1993,0,0,1993,0
269,15572,1993,0,0,1993,0
270,15580,1993,0,0,1993,0
271,15599,1993,0,0,1993,0
272,15600,1993,0,0,1993,0
273,15621,1993,0,0,1993,0
274,15632,1993,0,0,1993,0
275,15638,1993,0,0,1993,0
276,15646,1993,0,0,1993,0
277,15660,1993,0,0,1993,0
278,15664,1993,0,0,1993,0
279,15667,1993,0,0,1993,0
280,15673,1993,0,0,1993,0
281,15676,1993,0,0,1993,0
282,15681,1993,0,0,1993,0
283,15686,1993,0,0,1993,0
284,15690,1993,0,0,1993,0
285,15693,1993,0,0,1993,0
286,15696,1993,0,0,1993,0
287,15720,1993,0,0,1993,0
288,15723,1993,0,0,1993,0
289,15740,1993,0,0,1993,0
290,15753,1993,0,0,1993,0
291,15755,1993,0,0,1993,0
292,15757,1993,0,0,1993,0
